Version 1.37 - 29 Jul 2012,,,,,,
DF100M,60,60,DF100 Camera Flash Module,30,,
ES250,25,25,Extension Shaft - 250mm,30,,
KAP1,7.5,7.5,25mm x 1m x 25um Kapton Tape,1,,
M01,81,81,Measurement Mic Housing,85,,
M27A,135,135,100W Power Amp Module,150,,
P05,18,18,Preamp Power Supply,10,,
P06,16,16,Hi-Fi Phono Preamp,8,,
P09,24,24,Linkwitz-Riley Crossover,20,,
P19,22,22,50W Stereo IC Power Amp,12,,
P26A,15,15,PT2399 Digital Delay (With IC),6,,
P27A,26,26,100W Mono Power Amplifier,20,,
P27B,18,18,Guitar Preamplifier,12,,
P33,15,15,Speaker Protect & Mute,10,,
P36,26,26,Death of Zen Power Amp,22,,
P37,22,22,DoZ Hi-Fi Preamp,13,,
P39,22,22,Power transformer soft start,8.8,,
P3A,26,26,60-100W Stereo Power Amp,34,,
P48,15,15,EAS Subwoofer Controller,6,,
P60,15,15,LED VU Meter,5,,
P66,22,22,Dual Microphone Preamp,12,,
P68,32,32,300W Sub-Woofer Amp,32,,
P68-2,52,52,Dual Board Subwoofer Amp,48,,
P71,18,18,Linkwitz Transform Circuit,8,,
P72,22,22,20W Stereo IC Power Amp,12,,
P84,31,31,Band Constant Q Sub EQ,26,,
P84P,31,31,P84 Pot set (8 x 100k 9mm pots),34,,
P86,15,15,Miniature Audio Oscillator,6,,
P87A,15,15,Dual Balanced Receiver,6,,
P87B,15,15,Dual Balanced Transmitter,6,,
P88,18,18,High quality audio preamplifier,10,,
P93,14,14,Microphone Capsule Amplifier,2,,
P94,18,18,Universal Preamp & Mixer,12,,
P96A,15,15,48V Phantom Supply,7,,
P96B,15,15,48V Distribution Board,7,,
P97,24,24,Hi-Fi Tone Control Preamp,17,,
P99,15,15,36dB/Octave Subsonic Filter,6,,
P101,20,20,200W MOSFET Power Amp,34,,
P105,15,15,ESL 2kV Power Supply,7,,
P110AS,25,25,IR Remote Tx (Small Switches),25,,
P110AL,26,26,IR Remote Tx (Large Switches),25,,
P110B,25,25,IR Remote Receiver,25,,
P113,16,16,Hi-Fi Stereo Headphone Amplifier,8,,
P122,18,18,Simple Microphone Preamp,10,,
P125,25,25,4-Way 24dB/Octave Crossover,31,,
P126,15,15,10A 12V PWM dimmer,8,,
P127,18,18,Dual TDA7293 Power Amp,8,,
P137,30,30,Powered PA board set,61,,
PCD,7,7,Project CD ROM,10,,
PINS,4,4,1mm PCB Pins,4,,
INS1,17,17,Insurance (Internat. AU$100),0,,
INS2,19,19,Insurance (Internat. AU$200),0,,
INS3,21,21,Insurance (Internat. AU$300),0,,
REG,5,5,Registered Mail (Aust. Only!),0,,
.
100
5.5,5.25,12,12,16
0,0,0,0

